method,num_rows,num_images,iou_mean,dice_mean,precision_mean,recall_mean,mask_area_mean,area_ratio_mean,dino_score_mean,sam_score_mean,inference_time_mean,iou_std,dice_std,precision_std,recall_std,mask_area_std,area_ratio_std,dino_score_std,sam_score_std,inference_time_std,iou_median,dice_median,precision_median,recall_median,mask_area_median,area_ratio_median,dino_score_median,sam_score_median,inference_time_median
main_object,220,220,0.7227272727272728,0.7227272727272728,0.7227272727272728,0.7227272727272728,15393.00909090909,0.2553010419326659,,0.9587932695042003,10.00167004727277,0.4486731510945088,0.4486731510945088,0.4486731510945088,0.4486731510945088,18291.84527292152,0.3070375848913404,,0.03872780384099684,0.35176949744805586,1.0,1.0,1.0,1.0,7502.0,0.13309236852134146,,0.9622905850410461,9.960621000001993
hint,220,220,0.46292925081052255,0.5121732787765253,0.4954833878634632,0.7000366254162002,30060.26818181818,0.49450655626301115,0.6875967824849013,0.9721582270114222,0.5252465731816549,0.4221117037243437,0.42445604172723467,0.43390695186917255,0.43799167675442474,19113.658991701137,0.318416719689738,0.14905418287463887,0.028827337445152815,0.8608917196508996,0.349640649661039,0.518123591427233,0.49766532238405,0.9963230003930503,28686.0,0.44970703125,0.7271855771541595,0.9765119850635529,0.4580686000008427
carpet,220,220,0.3256346103168639,0.3568911587850147,0.3822870623300621,0.40918171010198945,21110.49090909091,0.3500320405685323,0.5727324383903523,0.9729658447358073,0.2760105786365867,0.4162160501989568,0.4330908280922758,0.45491119982507133,0.4691953710760078,19655.375503125513,0.3290340012165263,0.17605516808171676,0.03525242139534995,0.04267270250534923,0.00048139371344758,0.0009623179501293774,0.0013876189098010613,0.0010903684277660506,14058.5,0.21790313720703125,0.6042777895927429,0.9793801009654999,0.25907035000273027
rug,220,220,0.35691743066483955,0.3898645198224905,0.405188262059886,0.45363322295411845,21132.20909090909,0.35111438775219594,0.5946949623683666,0.9754967267843003,0.2707265745456508,0.4247863384392436,0.44032130719607643,0.4567087021350129,0.4764798884217097,19733.953834389507,0.33258903025754494,0.1852768721908383,0.023733150323730814,0.029919704949382956,0.021221093313860122,0.04156007363017263,0.032199479668822716,0.14984120737088819,14181.5,0.220184326171875,0.6139907240867615,0.9784805178642273,0.2591550500001176
area_rug,220,220,0.33632876336990963,0.37151496946481094,0.3967260371859559,0.44135164116293557,22876.840909090908,0.374869800170413,0.5768232421547759,0.9739853374513925,0.2725040295456975,0.4129976090948754,0.4318949568670745,0.45503206166821214,0.46965469936026216,19508.171244698307,0.3217127682314605,0.16794494769636958,0.028140550721597806,0.030610977736522268,0.022550181225113146,0.044100434313490845,0.03155171939779838,0.10095587349833557,15194.0,0.24498748779296875,0.6367923319339752,0.9778781235218048,0.2595730499997444
