method,num_rows,num_images,iou_mean,dice_mean,precision_mean,recall_mean,mask_area_mean,area_ratio_mean,dino_score_mean,sam_score_mean,inference_time_mean,iou_std,dice_std,precision_std,recall_std,mask_area_std,area_ratio_std,dino_score_std,sam_score_std,inference_time_std,iou_median,dice_median,precision_median,recall_median,mask_area_median,area_ratio_median,dino_score_median,sam_score_median,inference_time_median
main_object,220,220,0.7227272727272728,0.7227272727272728,0.7227272727272728,0.7227272727272728,15393.00909090909,0.2553010419326659,,0.9587932695042003,11.083903419091207,0.4486731510945088,0.4486731510945088,0.4486731510945088,0.4486731510945088,18291.84527292152,0.3070375848913404,,0.03872780384099684,1.0778414933813651,1.0,1.0,1.0,1.0,7502.0,0.13309236852134146,,0.9622905850410461,10.81713784999738
hint,220,220,0.4179787852880207,0.4653723276761537,0.4783968317255024,0.621022144961779,27124.072727272727,0.44195067165574414,0.5190606994913258,0.9732073009560961,0.6066570131821208,0.41968065582759384,0.42545519105582086,0.44404184420786574,0.45814394105986733,19388.274523045835,0.3165069092890762,0.13014941284300216,0.02588821494741778,1.0644344553816132,0.24734136081511165,0.39651614819535513,0.33621386469872994,0.9791819608741439,23293.0,0.36151123046875,0.5247812569141388,0.9774775803089142,0.5219913500113762
carpet,220,220,0.3256346103168639,0.3568911587850147,0.3822870623300621,0.40918171010198945,21110.49090909091,0.3500320405685323,0.5727324383903523,0.9729658447358073,0.3054936031816231,0.4162160501989568,0.4330908280922758,0.45491119982507133,0.4691953710760078,19655.375503125513,0.3290340012165263,0.17605516808171676,0.03525242139534995,0.05109419035413366,0.00048139371344758,0.0009623179501293774,0.0013876189098010613,0.0010903684277660506,14058.5,0.21790313720703125,0.6042777895927429,0.9793801009654999,0.288360049999028
rug,220,220,0.35691743066483955,0.3898645198224905,0.405188262059886,0.45363322295411845,21132.20909090909,0.35111438775219594,0.5946949623683666,0.9754967267843003,0.30000573954523796,0.4247863384392436,0.44032130719607643,0.4567087021350129,0.4764798884217097,19733.953834389507,0.33258903025754494,0.1852768721908383,0.023733150323730814,0.04401737309160441,0.021221093313860122,0.04156007363017263,0.032199479668822716,0.14984120737088819,14181.5,0.220184326171875,0.6139907240867615,0.9784805178642273,0.2857558500036248
area_rug,220,220,0.33632876336990963,0.37151496946481094,0.3967260371859559,0.44135164116293557,22876.840909090908,0.374869800170413,0.5768232421547759,0.9739853374513925,0.30108432999993306,0.4129976090948754,0.4318949568670745,0.45503206166821214,0.46965469936026216,19508.171244698307,0.3217127682314605,0.16794494769636958,0.028140550721597806,0.044858683555488076,0.022550181225113146,0.044100434313490845,0.03155171939779838,0.10095587349833557,15194.0,0.24498748779296875,0.6367923319339752,0.9778781235218048,0.2865851000024122
