image_name,method,iou,dice,precision,recall,mask_area,area_ratio,dino_score,sam_score,inference_time
00/0004bef1.jpg,carpet,0.0,0.0,0.0,0.0,7354,0.112213134765625,0.6192629933357239,0.9794760942459106,0.2754251000005752
00/00a98975.jpg,rug,0.9459325585825872,0.9722151514558164,0.9479914464640293,0.9977092794277217,26188,0.39959716796875,0.6680665612220764,0.9914278388023376,0.3197255999984918
04/04351089.jpg,area_rug,0.0,0.0,0.0,0.0,651,0.0099334716796875,0.32702332735061646,0.9292207360267639,0.27735560000292026
04/048bd865.jpg,area_rug,0.0,0.0,0.0,0.0,732,0.014892578125,0.26938873529434204,0.9736302495002747,0.34794659999897704
07/07cd3c4b.jpg,rug,0.9270939301458121,0.9621678690832307,0.9880227155394941,0.9376316691979815,19370,0.295562744140625,0.27797654271125793,0.9336392879486084,0.32434260001173243
09/097bb159.jpg,rug,0.0,0.0,0.0,0.0,585,0.0089263916015625,0.43586885929107666,0.9695337414741516,0.2921429999987595
0a/0adc8403.jpg,rug,0.990140936126196,0.9950460473955203,0.990140936126196,1.0,61872,0.9477941176470588,0.2983638346195221,0.9798405170440674,0.28753600000345614
0b/0b802d13.jpg,carpet,0.9090752751572327,0.9523723731452765,0.9103948825193751,0.9984080729588257,40645,0.6201934814453125,0.6276181936264038,0.965949535369873,0.28150330000789836
0c/0c789496.jpg,area_rug,0.0,0.0,0.0,0.0,4914,0.074981689453125,0.39357349276542664,0.9783373475074768,0.29992080001102295
0c/0cbfca58.jpg,rug,0.6090198436560433,0.757007250168174,0.6090198436560433,1.0,33260,0.8778505067567568,0.4595184326171875,0.9988110065460205,0.41438109999580774
0d/0dc8bb97.jpg,rug,0.0,0.0,0.0,0.0,33129,0.5055084228515625,0.6794256567955017,0.9762154817581177,0.2789117999927839
0e/0eaddd3d.jpg,rug,0.8982614139857446,0.946404333320648,0.8986076315282328,0.999571263967416,41512,0.6334228515625,0.8669043779373169,0.9857832789421082,0.28756730000895914
11/115c92fe.jpg,area_rug,0.0,0.0,0.0,0.0,0,0.0,-1.0,-1.0,0.2658129000046756
11/1191417b.jpg,rug,0.9897054403366397,0.9948260885985121,0.9990139563106796,0.9906731854080482,13184,0.201171875,0.7697471380233765,0.9844194054603577,0.30092490000242833
12/126f9fb9.jpg,area_rug,0.06441926828229481,0.1210411539923574,0.06441926828229481,1.0,46958,0.716522216796875,0.31385236978530884,0.9637289047241211,0.2898547999939183
13/139d7518.jpg,rug,0.0,0.0,0.0,0.0,2034,0.031036376953125,0.2964708209037781,0.995135486125946,0.28727499999513384
13/13b61d5c.jpg,rug,0.13959127121579495,0.24498480243161094,0.13959127121579495,1.0,37531,0.7839864639037433,0.30529019236564636,0.9240947365760803,0.3533899000030942
17/1788b0de.jpg,rug,0.5737830586431583,0.729176814417925,0.5737830586431583,1.0,2609,0.03996629901960784,0.2642363905906677,0.9677717089653015,0.2908692000055453
18/18fd2995.jpg,area_rug,0.19163798339744886,0.32163792371081473,1.0,0.19163798339744886,11358,0.173309326171875,0.33652666211128235,0.9210203886032104,0.27824270000564866
1b/1beafe81.jpg,area_rug,0.74642305199661,0.8548021066754207,1.0,0.74642305199661,29945,0.6962658110119048,0.4539000689983368,0.9895035028457642,0.38548440000158735
1d/1de38477.jpg,carpet,0.0,0.0,0.0,0.0,9387,0.1432342529296875,0.6282321214675903,0.9055424928665161,0.3369916999945417
1f/1f2efb1c.jpg,carpet,0.993083278184574,0.9965296373256786,0.993083278184574,1.0,46843,0.9431982925257731,0.5510419607162476,0.9809538125991821,0.3220913999975892
1f/1f9d4b5e.jpg,rug,0.0,0.0,0.0,0.0,0,0.0,0.34710490703582764,0.966985821723938,0.25253510000766255
1f/1fe12cbe.jpg,rug,0.630353743020335,0.7732723597181606,0.630353743020335,1.0,62503,0.9537200927734375,0.8233605623245239,0.9612138867378235,0.28599810000741854
20/204b09e4.jpg,area_rug,0.9974544426037416,0.998725599271771,0.9996760346642909,0.9977769694030152,24694,0.376800537109375,0.7067091464996338,0.9870738387107849,0.36563630000455305
20/20dc9925.jpg,rug,0.9967699309939804,0.9983823529411765,0.9998363633388424,0.9969325653869373,61111,0.9324798583984375,0.37710443139076233,0.9521781802177429,0.37321439999504946
21/2156a065.jpg,area_rug,0.9071514785757393,0.9513156021074949,0.9113313932339032,0.9949693860665233,32988,0.50335693359375,0.7836345434188843,0.9809554815292358,0.2677496000105748
22/22daf266.jpg,carpet,0.004872929005172801,0.00969859743360191,0.005539457985341742,0.038922155688622756,11734,0.2141866238317757,0.29913750290870667,0.9792306423187256,0.33241760000237264
23/236fe5cb.jpg,rug,0.9972840329727927,0.9986401698594842,0.9994269888262821,0.9978545887961859,20942,0.319549560546875,0.7446632385253906,1.0002626180648804,0.2761311000067508
23/237122ba.jpg,area_rug,0.0,0.0,0.0,0.0,0,0.0,-1.0,-1.0,0.2825197000056505
25/256d9dac.jpg,rug,0.0,0.0,0.0,0.0,2740,0.054607780612244895,0.6774266362190247,0.9811911582946777,0.3280285999935586
26/26f44697.jpg,area_rug,0.0,0.0,0.0,0.0,0,0.0,-1.0,-1.0,0.2530815999925835
27/27df8881.jpg,rug,0.0,0.0,0.0,0.0,2326,0.035491943359375,0.2723976969718933,0.9645292162895203,0.2832644000009168
28/28215d4c.jpg,area_rug,0.8127431035885752,0.896699705523235,1.0,0.8127431035885752,49939,0.7620086669921875,0.5635296106338501,0.9821510314941406,0.2686531999934232
2b/2b1a39bf.jpg,area_rug,0.5700495137676771,0.7261548234867048,0.7664822664463443,0.6898588209936416,41757,0.6371612548828125,0.7940505146980286,0.9621903896331787,0.25928579999890644
2c/2cc8fc8f.jpg,carpet,0.8781145044130282,0.9351022020752324,0.8934318750745023,0.9808497644390158,25167,0.3840179443359375,0.7222666144371033,0.976157009601593,0.25783919999958016
2e/2e3b78ed.jpg,area_rug,0.15798870468209145,0.2728674365186747,0.15798870468209145,1.0,54890,0.837554931640625,0.3389247953891754,0.9720293283462524,0.2865102000068873
2e/2e4dc35f.jpg,carpet,0.9933761932593026,0.996677091477717,0.9998774419687723,0.9934971626196449,40797,0.6225128173828125,0.7780656814575195,0.9765956997871399,0.26516629999969155
2e/2ef410af.jpg,carpet,0.0,0.0,0.0,0.0,6394,0.097564697265625,0.7012733221054077,0.9745217561721802,0.27214749999984633
30/300958b4.jpg,carpet,0.5760056089090346,0.7309689834261003,1.0,0.5760056089090346,35327,0.5390472412109375,0.43286800384521484,0.9642856121063232,0.27785910000966396
30/300f359a.jpg,rug,0.9665763799405686,0.9830041586991696,0.9672377042709402,0.999293132510467,38001,0.5798492431640625,0.25570598244667053,0.9922279119491577,0.26175140000123065
30/30366fa9.jpg,rug,0.0,0.0,0.0,0.0,45156,0.68902587890625,0.8600155711174011,0.957897424697876,0.2823903000098653
31/31347f65.jpg,rug,0.0,0.0,0.0,0.0,13923,0.2124481201171875,0.599795401096344,0.9711623191833496,0.2543329000036465
31/31a48655.jpg,area_rug,0.0,0.0,0.0,0.0,525,0.0080108642578125,0.36133530735969543,0.9938175082206726,0.2845323999936227
31/31be17e1.jpg,area_rug,0.9964465044418694,0.9982200897693856,0.9985291840842235,0.9979111867553767,12918,0.197113037109375,0.7771095037460327,0.995955765247345,0.260334700011299
31/31c513f5.jpg,carpet,0.0,0.0,0.0,0.0,1148,0.01751708984375,0.5747619271278381,0.9742608666419983,0.2771969000023091
33/336f1651.jpg,area_rug,0.7659307838509576,0.8674527799789477,0.7659307838509576,1.0,47879,0.7305755615234375,0.7737259268760681,0.9769234657287598,0.25099680000857916
34/3489b1a0.jpg,area_rug,0.994816150428231,0.9974013396820273,0.9948802163833076,0.9999352729861808,31056,0.885492700729927,0.3740476667881012,0.9659186005592346,0.341315300000133
34/348b756e.jpg,rug,0.0,0.0,0.0,0.0,9584,0.146240234375,0.7027285099029541,0.9649870991706848,0.257531299997936
38/385b4be9.jpg,area_rug,0.03222499242724328,0.06243792325056433,0.032319125070106564,0.9171087533156499,42792,0.6529541015625,0.36429888010025024,0.9702077507972717,0.26126810000278056
38/3860a41b.jpg,area_rug,0.0,0.0,0.0,0.0,2721,0.0415191650390625,0.3743334114551544,0.9630053043365479,0.2822448000079021
39/390f58df.jpg,carpet,0.0,0.0,0.0,0.0,5232,0.079833984375,0.6976919770240784,0.9659387469291687,0.38513209999655373
39/39a52159.jpg,area_rug,0.36757939625182356,0.5375620563738563,0.9968804686905577,0.36800269640198857,13143,0.2005462646484375,0.7467937469482422,0.9645349383354187,0.30603800000972115
3a/3a076e29.jpg,carpet,0.9979525593008739,0.9989752305731211,0.9992499624981249,0.9987006496751624,19999,0.3051605224609375,0.700355589389801,1.0005730390548706,0.32615370000712574
3c/3ca993cf.jpg,area_rug,0.0,0.0,0.0,0.0,818,0.01795119382022472,0.39180606603622437,0.9646160006523132,0.3796119000035105
3d/3d172f30.jpg,area_rug,0.6633299051536967,0.7975927121834595,0.6642407598123355,0.9979370100398844,43695,0.6667327880859375,0.7829199433326721,0.9746263027191162,0.28101460001198575
