method,num_rows,num_images,iou_mean,dice_mean,precision_mean,recall_mean,mask_area_mean,area_ratio_mean,dino_score_mean,sam_score_mean,inference_time_mean,iou_std,dice_std,precision_std,recall_std,mask_area_std,area_ratio_std,dino_score_std,sam_score_std,inference_time_std,iou_median,dice_median,precision_median,recall_median,mask_area_median,area_ratio_median,dino_score_median,sam_score_median,inference_time_median
main_object,220,220,0.27144435695899843,0.3102375758994669,0.4321352957530526,0.3188396416424363,15393.00909090909,0.2553010419326659,,0.9587932695042003,9.857249209090945,0.3786264041065004,0.397890324656721,0.4723783135821174,0.41982254021488585,18291.84527292152,0.3070375848913404,,0.03872780384099684,0.4111439022459879,0.003998355586475495,0.007964864083571518,0.016809991647843504,0.008094182892569989,7502.0,0.13309236852134146,,0.9622905850410461,9.812231650000285
carpet,220,220,0.26853055421483785,0.30807511528856873,0.3420849537413785,0.3498165481737767,21110.49090909091,0.3500320405685323,0.5727324383903523,0.9729658447358073,3.6449459609091224,0.3725898311816553,0.3982974310234993,0.43359702230320624,0.4356000810211255,19655.375503125513,0.3290340012165263,0.17605516808171676,0.03525242139534995,47.6452310790121,0.0008990664135956331,0.0017965098309620526,0.002150783794248974,0.002251643173992556,14058.5,0.21790313720703125,0.6042777895927429,0.9793801009654999,0.44124099999953614
rug,220,220,0.30570132176014325,0.3447986004874116,0.37298442254558384,0.39002533356763963,21132.20909090909,0.35111438775219594,0.5946949623683666,0.9754967267843003,0.26696965272728695,0.39337654384486853,0.41549602791151224,0.44660962651636055,0.4490833217938952,19733.953834389507,0.33258903025754494,0.1852768721908383,0.023733150323730814,0.04427710058162303,0.002613299451791586,0.005211610848607326,0.004307220099909809,0.005060050173493478,14181.5,0.220184326171875,0.6139907240867615,0.9784805178642273,0.2497264499988887
area_rug,220,220,0.27788559761888393,0.3226827866691532,0.3596081774463553,0.3845587064940331,22876.840909090908,0.374869800170413,0.5768232421547759,0.9739853374513925,0.2690720959091695,0.3677273322198711,0.3959833121249315,0.43456051506517557,0.4387881930342467,19508.171244698307,0.3217127682314605,0.16794494769636958,0.028140550721597806,0.04639776559401492,0.0065621883624094185,0.013037875142453383,0.03070195356553955,0.03508987702458652,15194.0,0.24498748779296875,0.6367923319339752,0.9778781235218048,0.2504982500004189
